date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:35	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%221511b80cab02242ad9c4f31cb4128d50%22	https://yenmarket.vn/cam-ai-cap-mafa-s40-1kg	D:/yenmarket/clone/yenmarket.vn/cam-ai-cap-mafa-s40-1kg	(from https://yenmarket.vn/)
15:47:35	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226e548b475416b087f5da4cf7d1959969%22	https://yenmarket.vn/tao-rockit-nz-s48	D:/yenmarket/clone/yenmarket.vn/tao-rockit-nz-s48	(from https://yenmarket.vn/)
15:47:35	126781/126781	---M-Z	200	added ('OK')	text/html	etag:W/%22b36d315ac9f4947937edb1b555b187b3%22	https://yenmarket.vn/le-han	D:/yenmarket/clone/yenmarket.vn/le-han.html	(from https://yenmarket.vn/)
15:47:35	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224f99cfcb70fbb54fe43a3a39d48e8f4e%22	https://yenmarket.vn/quyt-uc-aph-size-36	D:/yenmarket/clone/yenmarket.vn/quyt-uc-aph-size-36	(from https://yenmarket.vn/)
15:47:36	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22676734677b45fdf26ab4b54ac5322df7%22	https://yenmarket.vn/nho-xanh-uc	D:/yenmarket/clone/yenmarket.vn/nho-xanh-uc	(from https://yenmarket.vn/)
15:47:36	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22bddd619610fd36d20a6016d3f55464e8%22	https://yenmarket.vn/nho-den-uc-i-1kg	D:/yenmarket/clone/yenmarket.vn/nho-den-uc-i-1kg	(from https://yenmarket.vn/)
15:47:36	124316/124316	---M-Z	200	added ('OK')	text/html	etag:W/%229ea398f9dd082529632750d1c1f421e5%22	https://yenmarket.vn/tao-dazzle-new-zealand-size-90	D:/yenmarket/clone/yenmarket.vn/tao-dazzle-new-zealand-size-90.html	(from https://yenmarket.vn/)
15:47:36	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22ba33f3d7b3d025cc6f7acacd98cbb0b6%22	https://yenmarket.vn/dua-de-dac-mat	D:/yenmarket/clone/yenmarket.vn/dua-de-dac-mat	(from https://yenmarket.vn/)
15:47:37	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224344c4c11d7bd55e24d9dcd1475411b9%22	https://yenmarket.vn/cherry-my	D:/yenmarket/clone/yenmarket.vn/cherry-my	(from https://yenmarket.vn/)
15:47:38	146300/146300	---M-Z	200	added ('OK')	text/html	etag:W/%224ce6bfc71ec7747b1b1de697129b634a%22	https://yenmarket.vn/bo-heo-ga	D:/yenmarket/clone/yenmarket.vn/bo-heo-ga.html	(from https://yenmarket.vn/)
15:47:38	132211/132211	---M-Z	200	added ('OK')	text/html	etag:W/%22a6a0927296bd4f59936edc3cf3b16c6a%22	https://yenmarket.vn/dau-than-ngoai-bo-hokubee-uc-dong-lanh-300g	D:/yenmarket/clone/yenmarket.vn/dau-than-ngoai-bo-hokubee-uc-dong-lanh-300g.html	(from https://yenmarket.vn/)
15:47:38	132526/132526	---M-Z	200	added ('OK')	text/html	etag:W/%225e85979e7c3935d15ef8f66e2c8747ed%22	https://yenmarket.vn/bap-bo-hoa-rua-cat-lat-500g	D:/yenmarket/clone/yenmarket.vn/bap-bo-hoa-rua-cat-lat-500g.html	(from https://yenmarket.vn/)
15:47:39	134549/134549	---M-Z	200	added ('OK')	text/html	etag:W/%2202a7dc303d1ac5e2f6a902640e0116a2%22	https://yenmarket.vn/loi-nac-vai-swift-bo-my	D:/yenmarket/clone/yenmarket.vn/loi-nac-vai-swift-bo-my.html	(from https://yenmarket.vn/)
15:47:39	131977/131977	---M-Z	200	added ('OK')	text/html	etag:W/%22b8dc8f201532adcdf38eac603023d892%22	https://yenmarket.vn/ba-chi-haris-bo-my	D:/yenmarket/clone/yenmarket.vn/ba-chi-haris-bo-my.html	(from https://yenmarket.vn/)
15:47:39	139326/139326	---M-Z	200	added ('OK')	text/html	etag:W/%220c784237a5b6b4b324903dea061e0f12%22	https://yenmarket.vn/thit-diem-than-ib-serecto-penceta	D:/yenmarket/clone/yenmarket.vn/thit-diem-than-ib-serecto-penceta.html	(from https://yenmarket.vn/)
15:47:40	152242/152242	---M-Z	200	added ('OK')	text/html	etag:W/%223567a4c43e12a8b07c3cdc69874712eb%22	https://yenmarket.vn/xuong-suon-ib-spare-ribs	D:/yenmarket/clone/yenmarket.vn/xuong-suon-ib-spare-ribs.html	(from https://yenmarket.vn/)
15:47:40	137067/137067	---M-Z	200	added ('OK')	text/html	etag:W/%2280777dcb0d9cfa3a91ed92f54ab87114%22	https://yenmarket.vn/thit-bung-ba-roi-cat-mo-ib-defatted-belly-300gr	D:/yenmarket/clone/yenmarket.vn/thit-bung-ba-roi-cat-mo-ib-defatted-belly-300gr.html	(from https://yenmarket.vn/)
